AIRLINE_SK,IATA_CODE,AIRLINE_NAME,AIRLINE,AIRLINE_CATEGORY,CODE_VALIDATION,RECORD_DATE,LOAD_TIMESTAMP
3943d8795e03e8e3307b5b71eac1b669,UA,United Airlines,United Air Lines Inc.,MAJOR,VALID,2025-11-26,2025-11-26 01:23:13.769 -0800
3b98e2dffc6cb06a89dcb0d5c60a0206,AA,American Airlines,American Airlines Inc.,MAJOR,VALID,2025-11-26,2025-11-26 01:23:13.769 -0800
7516fd43adaa5e0b8a65a672c39845d2,US,Us Airways Inc.,US Airways Inc.,REGIONAL,VALID,2025-11-26,2025-11-26 01:23:13.769 -0800
892a245e287c163080b23db737d3c4c9,F9,Frontier Airlines Inc.,Frontier Airlines Inc.,LOW_COST,VALID,2025-11-26,2025-11-26 01:23:13.769 -0800
68b1f1cc15d8987eafe633c9488bdc05,B6,Jetblue Airways,JetBlue Airways,LOW_COST,VALID,2025-11-26,2025-11-26 01:23:13.769 -0800
e48bf9dad3f5d442f9d14d931be6f43e,OO,Skywest Airlines Inc.,Skywest Airlines Inc.,REGIONAL,VALID,2025-11-26,2025-11-26 01:23:13.769 -0800
a2c29192484301fa800100e16e494acf,AS,Alaska Airlines Inc.,Alaska Airlines Inc.,REGIONAL,VALID,2025-11-26,2025-11-26 01:23:13.769 -0800
93437597656efdb384976096b6261386,NK,Spirit Air Lines,Spirit Air Lines,LOW_COST,VALID,2025-11-26,2025-11-26 01:23:13.769 -0800
c6a0e7c2e78ced7f024313cb92b897a3,WN,Southwest Airlines Co.,Southwest Airlines Co.,MAJOR,VALID,2025-11-26,2025-11-26 01:23:13.769 -0800
f5ce9f5cb682a1f863d5a8c51ac28683,DL,Delta Airlines,Delta Air Lines Inc.,MAJOR,VALID,2025-11-26,2025-11-26 01:23:13.769 -0800
834d41112f2943c357f660165b6eb6de,EV,Atlantic Southeast Airlines,Atlantic Southeast Airlines,REGIONAL,VALID,2025-11-26,2025-11-26 01:23:13.769 -0800
594c16ca0695f6665d7cf4971707adf6,HA,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.,REGIONAL,VALID,2025-11-26,2025-11-26 01:23:13.769 -0800
51f581937765890f2a706c77ea8af3cc,MQ,American Eagle Airlines Inc.,American Eagle Airlines Inc.,REGIONAL,VALID,2025-11-26,2025-11-26 01:23:13.769 -0800
b80fbb2d4bfa95a5db718a58f7c97cd1,VX,Virgin America,Virgin America,LOW_COST,VALID,2025-11-26,2025-11-26 01:23:13.769 -0800
